"Indicator type","Indicator","Description"
"IPv4","77.83.36.25",""
"IPv4","173.249.34.182",""
"IPv4","79.124.59.142",""
"IPv4","101.51.196.95",""
"IPv4","36.228.86.120",""
"IPv4","210.86.179.6",""
"IPv4","164.163.96.2",""
"IPv4","173.249.34.182",""
"IPv4","45.141.36.4",""
"IPv4","223.205.193.238",""
"IPv4","173.249.34.182",""
"IPv4","79.124.59.142",""
"IPv4","167.235.255.196",""
"IPv4","201.144.236.23",""
"IPv4","77.83.36.25",""
"IPv4","173.249.34.182",""
"IPv4","160.251.112.134",""
"IPv4","85.215.170.146",""
"IPv4","201.144.236.23",""
"IPv4","103.82.26.70",""
"IPv4","217.76.50.169",""
"IPv4","185.162.235.180",""
"IPv4","164.163.96.2",""
"IPv4","167.235.33.112",""
"IPv4","133.167.106.110",""
"IPv4","79.124.59.142",""
"IPv4","45.141.36.4",""
"IPv4","59.49.77.211",""
"IPv4","150.95.208.152",""
"IPv4","79.124.59.142",""
"IPv4","85.214.39.31",""
"IPv4","103.212.37.50",""
"IPv4","173.249.34.182",""
"IPv4","79.124.59.142",""
"IPv4","13.40.18.198",""
"IPv4","164.163.96.2",""
"IPv4","193.163.125.87",""
"IPv4","193.200.241.6",""
"IPv4","87.236.176.52",""
"IPv4","85.215.170.146",""
"IPv4","87.236.176.71",""
"IPv4","87.236.176.57",""
"IPv4","101.51.196.95",""
"IPv4","79.124.59.142",""
"IPv4","77.83.36.25",""
"IPv4","45.141.36.4",""
"IPv4","173.249.34.182",""
"IPv4","193.200.241.6",""
"IPv4","79.124.59.142",""
"IPv4","167.235.33.112",""
"IPv4","79.124.59.142",""
"IPv4","153.126.140.48",""
"IPv4","173.249.34.182",""
"IPv4","133.167.106.110",""
"IPv4","103.209.153.70",""
"IPv4","45.141.36.4",""
"IPv4","160.251.2.113",""
"IPv4","173.249.34.182",""
"IPv4","164.163.96.2",""
"IPv4","101.51.196.95",""
"IPv4","79.124.59.142",""
"IPv4","173.249.34.182",""
"IPv4","218.78.12.122",""
"IPv4","79.124.59.142",""
"IPv4","45.141.36.4",""
"IPv4","185.249.196.164",""
"IPv4","218.78.12.122",""
"IPv4","150.95.208.152",""
"IPv4","45.141.36.4",""
"IPv4","153.126.140.48",""
"IPv4","173.249.34.182",""
"IPv4","164.163.96.2",""
"IPv4","160.251.2.113",""
"IPv4","18.170.222.198",""
"IPv4","141.98.11.57",""
"IPv4","45.141.36.4",""
"IPv4","79.124.59.142",""
"IPv4","153.126.140.48",""
"IPv4","160.251.2.238",""
"IPv4","193.200.241.6",""
"IPv4","167.235.33.112",""
"IPv4","173.249.34.182",""
"IPv4","153.126.140.48",""
"IPv4","173.249.34.182",""
"IPv4","223.205.193.238",""
"IPv4","79.124.59.142",""
"IPv4","103.212.37.50",""
"IPv4","160.251.112.134",""
"IPv4","80.241.214.247",""
"IPv4","103.82.25.220",""
"IPv4","173.249.34.182",""
"IPv4","13.232.156.232",""
"IPv4","79.124.59.142",""
"IPv4","80.241.214.247",""
"IPv4","173.249.34.182",""
"IPv4","94.23.3.136",""
"IPv4","167.235.33.112",""
"IPv4","85.214.39.31",""
"IPv4","79.124.59.142",""
"IPv4","160.251.112.134",""
"IPv4","201.144.236.23",""
"IPv4","85.215.170.146",""
"IPv4","150.95.208.152",""
"IPv4","79.124.59.142",""
"IPv4","80.241.214.247",""
"IPv4","85.215.170.146",""
"IPv4","201.144.236.23",""
"IPv4","107.170.234.14",""
"IPv4","210.86.179.6",""
"IPv4","173.249.34.182",""
"IPv4","13.232.156.232",""
"IPv4","89.248.168.42",""
"IPv4","85.215.170.146",""
"IPv4","107.170.234.14",""
"IPv4","218.78.12.122",""
"IPv4","201.144.236.23",""
"IPv4","150.95.208.152",""
"IPv4","79.124.59.142",""
"IPv4","121.58.248.162",""
"IPv4","167.235.255.196",""
"IPv4","13.232.156.232",""
"IPv4","193.200.241.6",""
"IPv4","173.249.34.182",""
"IPv4","101.51.196.95",""
"IPv4","85.214.39.31",""
"IPv4","150.95.208.152",""
"IPv4","153.126.140.48",""
"IPv4","160.251.2.113",""
"IPv4","103.212.37.50",""
"IPv4","85.215.170.146",""
"IPv4","89.58.63.61",""
"IPv4","167.235.255.196",""
"IPv4","167.235.33.112",""
"IPv4","150.95.208.152",""
"IPv4","85.215.170.146",""
"IPv4","201.144.236.23",""
"IPv4","79.124.59.142",""
"IPv4","173.249.34.182",""
"IPv4","150.95.208.152",""
"IPv4","201.144.236.23",""
"IPv4","185.162.235.180",""
"IPv4","79.124.59.142",""
"IPv4","185.249.196.164",""
"IPv4","101.51.196.95",""
"IPv4","173.249.34.182",""
"IPv4","77.83.36.25",""
"IPv4","160.251.2.238",""
"IPv4","45.141.36.4",""
"IPv4","103.209.153.70",""
"IPv4","68.178.163.67",""
"IPv4","160.251.2.113",""
"IPv4","125.229.80.42",""
"IPv4","133.167.106.110",""
"IPv4","45.141.36.4",""
"IPv4","79.124.59.142",""
"IPv4","13.232.156.232",""
"IPv4","160.251.2.113",""
"IPv4","103.209.153.70",""
"IPv4","173.249.34.182",""
"IPv4","167.235.255.196",""
"IPv4","193.200.241.6",""
"IPv4","103.209.153.70",""
"IPv4","173.249.34.182",""
"IPv4","217.76.50.169",""
"IPv4","45.95.147.200",""
"IPv4","85.215.170.146",""
"IPv4","103.209.153.70",""
"IPv4","133.167.106.110",""
"IPv4","173.249.34.182",""
"IPv4","79.124.59.142",""
"IPv4","79.124.62.130",""
"IPv4","164.163.96.2",""
"IPv4","79.124.59.142",""
"IPv4","223.205.193.238",""
"IPv4","167.235.255.196",""
"IPv4","79.124.59.142",""
"IPv4","85.214.39.31",""
"IPv4","80.241.214.247",""
"IPv4","160.251.2.238",""
"IPv4","103.209.153.70",""
"IPv4","164.163.96.2",""
"IPv4","167.235.255.196",""
"IPv4","173.249.34.182",""
"IPv4","103.209.153.70",""
"IPv4","94.23.3.136",""
"IPv4","85.215.170.146",""
"IPv4","173.249.34.182",""
"IPv4","223.205.193.238",""
"IPv4","167.235.255.196",""
"IPv4","153.126.140.48",""
"IPv4","173.249.34.182",""
"IPv4","79.124.59.142",""
"IPv4","164.163.96.2",""
"IPv4","201.144.236.23",""
"IPv4","45.141.36.4",""
"IPv4","173.249.34.182",""
"IPv4","150.95.208.152",""
"IPv4","121.58.248.162",""
"IPv4","36.235.196.191",""
"IPv4","218.78.12.122",""
"IPv4","79.124.59.142",""
"IPv4","160.251.112.134",""
