"Indicator type","Indicator","Description"
"IPv4","218.92.0.226",""
"IPv4","218.92.0.235",""
"IPv4","116.110.80.48",""
"IPv4","171.251.22.114",""
"IPv4","171.251.22.114",""
"IPv4","171.251.22.114",""
"IPv4","171.251.22.114",""
"IPv4","116.110.80.48",""
"IPv4","116.110.80.48",""
"IPv4","116.110.80.48",""
"IPv4","171.251.22.114",""
"IPv4","116.110.80.48",""
"IPv4","116.110.80.48",""
"IPv4","116.110.80.48",""
"IPv4","171.251.22.114",""
"IPv4","116.110.80.48",""
"IPv4","171.251.22.114",""
"IPv4","171.251.22.114",""
"IPv4","171.251.22.114",""
"IPv4","116.110.80.48",""
"IPv4","92.118.39.74",""
"IPv4","218.92.0.112",""
"IPv4","171.251.23.55",""
"IPv4","171.251.23.55",""
"IPv4","171.251.23.55",""
"IPv4","171.251.23.55",""
"IPv4","171.251.23.55",""
"IPv4","171.251.23.55",""
"IPv4","171.251.23.55",""
"IPv4","171.251.23.55",""
"IPv4","54.37.153.81",""
"IPv4","96.78.175.36",""
"IPv4","171.251.23.55",""
"IPv4","185.213.164.123",""
"IPv4","34.151.198.59",""
"IPv4","218.92.0.228",""
"IPv4","14.103.132.206",""
"IPv4","103.187.147.35",""
"IPv4","218.92.0.235",""
"IPv4","218.92.0.134",""
"IPv4","183.224.219.194",""
"IPv4","92.118.39.86",""
"IPv4","180.188.231.157",""
"IPv4","92.118.39.86",""
"IPv4","180.188.231.157",""
"IPv4","14.103.127.97",""
"IPv4","180.188.231.157",""
"IPv4","180.188.231.157",""
"IPv4","218.92.0.222",""
"IPv4","125.105.129.250",""
"IPv4","92.118.39.86",""
"IPv4","180.188.231.157",""
"IPv4","128.199.30.150",""
"IPv4","92.118.39.86",""
"IPv4","168.167.228.123",""
"IPv4","195.178.110.65",""
"IPv4","92.118.39.86",""
"IPv4","92.118.39.76",""
"IPv4","92.118.39.76",""
"IPv4","92.118.39.76",""
"IPv4","195.178.110.65",""
"IPv4","91.205.219.185",""
"IPv4","92.118.39.76",""
"IPv4","106.53.8.249",""
"IPv4","81.144.146.82",""
"IPv4","51.83.46.251",""
"IPv4","191.223.75.89",""
"IPv4","206.217.133.9",""
"IPv4","92.118.39.71",""
"IPv4","193.32.162.130",""
"IPv4","196.251.84.225",""
"IPv4","8.149.241.51",""
"IPv4","218.92.0.235",""
"IPv4","181.174.224.99",""
"IPv4","109.167.200.10",""
"IPv4","85.5.152.46",""
"IPv4","218.92.0.218",""
"IPv4","113.137.34.110",""
"IPv4","218.92.0.223",""
"IPv4","45.207.192.3",""
"IPv4","218.92.0.134",""
"IPv4","218.78.60.105",""
"IPv4","152.32.158.35",""
"IPv4","202.51.83.131",""
"IPv4","51.77.245.237",""
"IPv4","218.92.0.153",""
"IPv4","218.92.0.134",""
"IPv4","103.172.205.14",""
"IPv4","191.233.25.20",""
"IPv4","218.92.0.153",""
"IPv4","182.151.41.228",""
